"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","EV","ERA","FIP","xFIP","WAR","W","L","H","R","ER","HR","BB","IBB","HBP","SO","GB","FB","LD","IFFB","Balls","Strikes","Pitches","RS","IFH","BU","BUH","FB%","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","SIERA","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Dylan Bundy","LAA","6","3","0","11","11","65.2","9.87","2.33","0.69",".272","69.2%","40.6%","8.2%","87.0","3.29","2.95","3.75","2.0","6","3","51","27","24","5","17","1","4","72","69","61","40","6","346","672","1018","50","2","3","0","35.9%","32.4%","60.0%","44.5%","54.1%","82.5%","70.9%","43.9%","56.9%","13.0%","3.80","33.5%","","","","","8.4%","25.0%","11.7%","","","21.3%","","","","90.0","","","","","90.6","79.9","73.5","","","82.2","","","41.0%","37.6%","21.4%","17.3%","52.6%","30.1%","12917"
"Lance Lynn","TEX","6","3","0","13","13","84.0","9.54","2.68","1.39",".242","79.4%","36.0%","13.8%","88.6","3.32","4.19","4.34","1.3","6","3","64","34","31","13","25","0","6","89","80","94","48","10","493","915","1408","38","4","2","0","42.3%","31.4%","73.0%","49.5%","67.5%","83.0%","77.5%","43.6%","61.0%","11.2%","4.08","49.9%","","22.1%","","","18.0%","","8.3%","","","1.1%","","","","94.0","","89.4","","","92.0","","83.9","","","84.6","","","35.3%","36.2%","28.6%","13.8%","53.1%","33.0%","2520"
"Antonio Senzatela","COL","5","3","0","12","12","73.1","5.03","2.21","1.10",".268","79.6%","50.8%","12.9%","88.3","3.44","4.57","4.81","1.1","5","3","71","29","28","9","18","0","4","41","122","70","48","6","417","720","1137","38","7","0","0","29.2%","27.7%","71.7%","46.2%","68.3%","90.1%","82.5%","42.0%","62.4%","8.1%","5.02","55.9%","","","","","","25.2%","8.5%","","","10.4%","","","","94.3","","","","","","86.3","79.1","","","86.4","","","44.2%","33.3%","22.5%","15.8%","48.8%","35.4%","15488"
"Lucas Giolito","CHW","4","3","0","12","12","72.1","12.07","3.48","1.00",".255","69.9%","41.3%","13.3%","87.0","3.48","3.19","3.35","2.0","4","3","47","31","28","8","28","0","2","97","66","60","34","7","424","790","1214","32","7","1","0","37.5%","31.2%","75.1%","50.6%","49.1%","74.6%","65.8%","44.1%","59.4%","17.3%","3.51","50.6%","","","","","","14.7%","1.0%","","","33.7%","","","","94.0","","","","","","84.9","77.3","","","80.9","","","44.1%","29.8%","26.1%","19.9%","46.6%","33.5%","15474"
"Framber Valdez","HOU","5","3","0","11","10","70.2","9.68","2.04","0.64",".312","67.5%","60.0%","13.5%","91.4","3.57","2.85","2.94","2.0","5","3","63","32","28","5","16","0","5","76","114","37","39","1","368","681","1049","56","10","1","0","19.5%","28.6%","63.5%","44.5%","59.5%","87.2%","77.5%","45.7%","59.7%","10.0%","3.23","1.7%","","","","","55.1%","","33.5%","","","9.7%","","","","93.0","","","","","93.1","","80.5","","","88.8","","","34.6%","39.8%","25.7%","12.6%","49.7%","37.7%","17295"
"Max Scherzer","WSN","5","4","0","12","12","67.1","12.30","3.07","1.34",".355","80.0%","33.0%","14.3%","88.5","3.74","3.46","3.53","1.8","5","4","70","30","28","10","23","1","1","92","58","70","48","9","420","793","1213","37","5","3","2","39.8%","33.0%","72.6%","50.0%","58.8%","77.6%","70.5%","43.0%","65.8%","14.8%","3.56","46.0%","","9.7%","","","","19.0%","9.2%","","","16.1%","","","","94.7","","91.1","","","","85.5","77.2","","","84.9","","","36.3%","31.3%","32.4%","19.0%","48.0%","33.0%","3137"
"German Marquez","COL","4","6","0","13","13","81.2","8.04","2.76","0.66",".300","65.5%","50.6%","9.4%","88.8","3.75","3.28","3.83","2.3","4","6","78","41","34","6","25","0","0","73","124","64","57","3","421","805","1226","40","9","1","1","26.1%","30.6%","70.3%","48.9%","53.5%","85.9%","75.0%","46.2%","66.3%","12.2%","4.27","37.8%","","","","","14.4%","17.4%","","25.0%","","5.3%","","","","95.9","","","","","94.7","87.9","","85.5","","86.8","","","41.9%","33.7%","24.4%","10.2%","52.4%","37.4%","15038"
"Jose Berrios","MIN","5","4","0","12","12","63.0","9.71","3.71","1.14",".295","77.5%","40.4%","13.1%","88.7","4.00","4.06","4.28","1.1","5","4","57","28","28","8","26","0","3","68","69","61","41","5","402","700","1102","41","4","3","0","35.7%","34.4%","63.3%","45.8%","65.5%","82.2%","74.7%","39.6%","63.1%","11.6%","4.39","27.0%","","","","","24.5%","","29.8%","","","18.8%","","","","94.5","","","","","93.9","","83.3","","","84.7","","","35.6%","37.4%","27.0%","15.5%","51.7%","32.8%","14168"
"Zack Greinke","HOU","3","3","0","12","12","67.0","9.00","1.21","0.81",".321","68.5%","41.2%","9.2%","86.8","4.03","2.80","3.51","2.1","3","3","67","30","30","6","9","0","1","67","80","65","49","5","400","660","1060","27","4","2","1","33.5%","28.9%","60.0%","40.8%","59.8%","85.2%","74.1%","38.2%","61.9%","10.6%","3.72","40.8%","","","","","","15.9%","10.7%","","","27.5%","","","","88.1","","","","","","84.5","71.6","","","84.7","","","38.8%","35.2%","26.0%","17.9%","49.0%","33.2%","1943"
"Brady Singer","KCR","4","5","0","12","12","64.1","8.53","3.22","1.12",".260","72.9%","53.1%","15.1%","88.5","4.06","4.08","4.05","1.0","4","5","52","29","29","8","23","0","2","61","94","53","30","4","378","693","1071","32","2","0","0","29.9%","29.4%","58.3%","41.7%","59.7%","89.1%","77.2%","42.6%","60.5%","9.5%","4.29","0.7%","","","","","57.1%","37.4%","","","","4.7%","","","","93.0","","","","","93.3","83.1","","","","87.8","","","35.6%","39.5%","24.9%","11.9%","55.9%","32.2%","25377"
"Kyle Freeland","COL","2","3","0","13","13","70.2","5.86","2.93","1.15",".305","76.3%","51.5%","15.8%","87.3","4.33","4.65","4.55","1.0","2","3","77","34","34","9","23","0","3","46","117","57","53","4","416","708","1124","28","8","5","3","25.1%","32.5%","67.5%","45.7%","68.7%","89.5%","80.4%","37.8%","56.3%","9.0%","4.95","20.6%","","","","","11.6%","23.7%","18.9%","","","25.3%","","","","92.2","","","","","91.7","86.2","80.3","","","86.1","","","46.6%","34.9%","18.5%","18.1%","48.7%","33.2%","16256"
"Andrew Heaney","LAA","4","3","0","12","12","66.2","9.45","2.56","1.21",".302","68.6%","39.0%","12.3%","88.6","4.45","3.79","4.15","1.4","4","3","63","35","33","9","19","1","2","70","73","73","41","8","372","713","1085","31","0","1","1","39.0%","33.7%","69.4%","50.0%","62.1%","82.9%","75.3%","45.8%","67.0%","12.4%","4.08","57.8%","","","","","","","24.8%","","","17.4%","","","","91.5","","","","","","","79.2","","","83.0","","","41.5%","35.1%","23.4%","17.6%","45.7%","36.7%","15423"
"Alec Mills","CHC","5","5","0","11","11","62.1","6.64","2.74","1.88",".233","77.1%","47.3%","21.3%","86.9","4.48","5.44","4.61","0.2","5","5","53","31","31","13","19","0","2","46","87","61","36","7","341","604","945","38","4","1","0","33.2%","32.1%","62.6%","44.0%","74.6%","89.2%","82.7%","39.0%","61.1%","7.6%","4.81","25.7%","","","","","33.2%","10.1%","15.0%","","","16.0%","","","","89.8","","","","","90.0","77.5","66.6","","","80.8","","","42.7%","33.0%","24.3%","17.3%","50.8%","31.9%","13834"
"Martin Perez","BOS","3","5","0","12","12","62.0","6.68","4.06","1.16",".266","70.9%","38.5%","12.5%","86.3","4.50","4.88","5.20","0.4","3","5","55","33","31","8","28","0","3","46","70","64","48","6","409","624","1033","31","5","3","2","35.2%","26.8%","68.2%","42.9%","72.8%","84.7%","80.1%","38.9%","64.9%","8.5%","5.43","15.0%","","32.1%","","","17.8%","","9.4%","","","25.7%","","","","92.2","","88.8","","","91.9","","77.7","","","83.6","","","40.0%","36.8%","23.2%","18.9%","50.8%","30.3%","6902"
"Patrick Corbin","WSN","2","7","0","11","11","65.2","8.22","2.47","1.37",".362","76.4%","43.7%","15.2%","90.7","4.66","4.17","4.12","1.2","2","7","85","35","34","10","18","1","0","60","94","66","55","7","378","690","1068","35","8","2","1","30.7%","37.8%","68.6%","50.1%","65.7%","89.4%","78.7%","40.0%","64.1%","10.7%","4.42","22.5%","","","","","30.1%","40.3%","2.1%","","","5.1%","","","","90.0","","","","","90.1","79.2","65.0","","","77.3","","","39.6%","33.2%","27.2%","13.8%","48.4%","37.8%","9323"
"Aaron Civale","CLE","4","6","0","12","12","74.0","8.39","1.95","1.34",".333","72.4%","44.2%","15.7%","87.1","4.74","4.03","3.92","1.2","4","6","82","39","39","11","16","0","3","69","99","70","55","2","421","780","1201","35","6","0","0","31.3%","32.4%","64.0%","45.4%","64.6%","86.4%","77.2%","41.1%","63.1%","10.3%","4.11","2.4%","","29.8%","","","29.0%","8.4%","21.1%","","","9.2%","","","","91.2","","87.3","","","91.8","81.9","75.7","","","85.3","","","41.1%","33.9%","25.0%","17.0%","47.3%","35.7%","19479"
"Jon Lester","CHC","3","3","0","12","12","61.0","6.20","2.51","1.62",".276","71.4%","47.0%","15.1%","88.9","5.16","5.14","5.11","0.2","3","3","64","35","35","11","17","0","3","42","95","73","34","2","388","620","1008","41","7","1","0","36.1%","28.7%","69.0%","44.1%","73.6%","90.3%","83.6%","38.4%","58.9%","7.2%","5.02","27.8%","","31.8%","","","14.1%","","12.8%","","","13.5%","","","","89.4","","87.4","","","88.6","","73.4","","","83.4","","","42.4%","33.5%","24.1%","18.7%","45.3%","36.0%","4930"
"Kyle Gibson","TEX","2","6","0","12","12","67.1","7.75","4.01","1.60",".313","70.5%","51.5%","26.7%","88.2","5.35","5.39","4.36","0.1","2","6","73","44","40","12","30","1","6","58","106","45","55","2","455","684","1139","23","5","1","0","21.8%","29.4%","61.6%","41.4%","62.6%","90.8%","78.1%","37.1%","65.1%","9.0%","4.77","14.2%","","","","","35.5%","24.7%","7.8%","","","17.8%","","","","92.3","","","","","92.2","83.0","78.7","","","84.4","","","45.4%","37.2%","17.4%","13.0%","49.3%","37.7%","10123"
"Johnny Cueto","SFG","2","3","0","12","12","63.1","7.96","3.69","1.28",".284","63.3%","40.8%","13.8%","87.9","5.40","4.64","4.78","0.5","2","3","61","41","38","9","26","0","3","56","78","65","48","5","436","709","1145","28","3","1","0","34.0%","29.4%","69.8%","44.9%","72.0%","87.9%","81.5%","38.4%","55.6%","8.3%","4.90","32.2%","","","","","11.5%","9.5%","19.1%","","","26.9%","","","","91.4","","","","","90.9","84.7","80.7","","","82.5","","","50.0%","30.2%","19.8%","17.7%","52.6%","29.7%","6893"
"Matthew Boyd","DET","3","7","0","12","12","60.1","8.95","3.28","2.24",".308","65.8%","37.2%","19.7%","87.4","6.71","5.78","4.97","0.1","3","7","67","46","45","15","22","0","5","60","68","76","39","5","409","677","1086","35","5","1","0","41.5%","34.8%","71.1%","48.4%","59.3%","86.2%","74.1%","37.6%","59.4%","12.5%","4.60","48.9%","","","","","3.8%","22.7%","7.5%","","","17.2%","","","","91.7","","","","","90.9","79.3","74.1","","","79.1","","","42.4%","36.4%","21.2%","17.4%","54.3%","28.3%","15440"
